areaNm,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,touNum,avgTemp,dayRf,daySf,AccumulateCovid19,increase
서울특별시,2022-01-01,1,0,0,1,1,0,1,0,1171117.5,-4.3,0.0,0.0,226698.0,1464.0
부산광역시,2022-01-01,1,0,0,1,1,0,1,0,445102.0,1.9,0.0,0.0,25287.0,212.0
대구광역시,2022-01-01,1,0,0,1,1,0,1,0,264113.5,-2.3,0.0,0.0,23249.0,125.0
인천광역시,2022-01-01,1,0,0,1,1,0,1,0,496692.0,-3.4,0.0,0.0,36962.0,241.0
광주광역시,2022-01-01,1,0,0,1,1,0,1,0,161028.0,-0.1,0.0,0.0,8118.0,92.0
대전광역시,2022-01-01,1,0,0,1,1,0,1,0,214634.0,-4.4,0.0,0.0,12315.0,65.0
울산광역시,2022-01-01,1,0,0,1,1,0,1,0,157447.5,-0.6,0.0,0.0,6923.0,50.0
세종특별자치시,2022-01-01,1,0,0,1,1,0,1,0,70805.0,-5.1,0.0,0.0,2158.0,16.0
경기도,2022-01-01,1,0,0,1,1,0,1,0,1692999.0,-7.0,0.0,0.0,187754.0,1391.0
강원도,2022-01-01,1,0,0,1,1,0,1,0,673043.0,-8.2,0.0,0.0,12464.0,59.0
충청북도,2022-01-01,1,0,0,1,1,0,1,0,308154.0,-9.2,0.0,0.0,11602.0,104.0
충청남도,2022-01-01,1,0,0,1,1,0,1,0,539332.5,-4.9,0.0,0.0,18233.0,138.0
전라북도,2022-01-01,1,0,0,1,1,0,1,0,311538.5,-2.7,0.0,0.0,9653.0,85.0
전라남도,2022-01-01,1,0,0,1,1,0,1,0,442116.5,0.4,0.0,0.0,6126.0,48.0
경상북도,2022-01-01,1,0,0,1,1,0,1,0,688541.0,-7.1,0.0,0.0,15431.0,116.0
경상남도,2022-01-01,1,0,0,1,1,0,1,0,525623.0,-2.2,0.0,0.0,20840.0,162.0
제주특별자치도,2022-01-01,1,0,0,1,1,0,1,0,176764.0,4.9,0.0,0.0,4661.0,23.0
서울특별시,2022-01-02,1,0,0,1,1,0,1,0,1112258.0,-1.3,0.3,0.5,227879.0,1183.0
부산광역시,2022-01-02,1,0,0,1,1,0,1,0,373047.5,4.8,0.0,0.0,25503.0,216.0
대구광역시,2022-01-02,1,0,0,1,1,0,1,0,248535.0,0.6,0.0,0.0,23335.0,86.0
인천광역시,2022-01-02,1,0,0,1,1,0,1,0,376194.0,-1.2,0.3,0.2,37195.0,233.0
광주광역시,2022-01-02,1,0,0,1,1,0,1,0,148557.5,0.7,0.0,0.0,8211.0,93.0
대전광역시,2022-01-02,1,0,0,1,1,0,1,0,192944.5,-1.2,0.0,0.0,12374.0,59.0
울산광역시,2022-01-02,1,0,0,1,1,0,1,0,132051.5,3.4,0.0,0.0,6981.0,58.0
세종특별자치시,2022-01-02,1,0,0,1,1,0,1,0,69268.5,-1.4,0.0,0.0,2170.0,12.0
경기도,2022-01-02,1,0,0,1,1,0,1,0,1438510.5,-2.5,0.0,0.0,189031.0,1277.0
강원도,2022-01-02,1,0,0,1,1,0,1,0,465815.0,-2.7,0.0,0.0,12523.0,59.0
충청북도,2022-01-02,1,0,0,1,1,0,1,0,260676.5,-5.0,0.0,0.0,11652.0,50.0
충청남도,2022-01-02,1,0,0,1,1,0,1,0,408474.5,-1.5,0.1,0.0,18334.0,101.0
